ID,WORD,LABEL,BASE_YEAR,RATING,ASSESSOR1,ASSESSOR2,ASSESSOR3,ASSESSOR_MEAN,GROUND_TRUTH
52,албанский_ADJ,1,2001,6,0,0,0,0.0,0
53,участковый_ADJ,0,2011,-1,0,0,0,0.0,0
54,молодежный_ADJ,0,2008,-1,0,0,0,0.0,0
55,приемный_ADJ,1,2001,5,0,0,1,0.3333333333333333,0
56,сельский_ADJ,0,2004,-1,0,0,0,0.0,0
57,панкисский_ADJ,1,2002,3,0,0,0,0.0,0
58,норильский_ADJ,1,2010,10,0,0,0,0.0,0
59,минский_ADJ,1,2013,1,1,1,0,0.6666666666666666,1
60,координационный_ADJ,1,2011,10,2,1,2,1.6666666666666667,2
61,уральский_ADJ,1,2003,10,0,0,0,0.0,0
62,продовольственный_ADJ,0,2007,-1,0,0,1,0.3333333333333333,0
63,надзорный_ADJ,0,2010,-1,0,0,0,0.0,0
64,пожизненный_ADJ,1,2007,6,1,0,0,0.3333333333333333,0
65,правый_ADJ,1,2013,9,1,1,2,1.3333333333333333,1
66,суммарный_ADJ,0,2009,-1,0,0,0,0.0,0
67,видный_ADJ,0,2001,-1,0,0,0,0.0,0
68,недоступный_ADJ,0,2011,-1,0,0,0,0.0,0
69,басманный_ADJ,1,2002,10,1,1,2,1.3333333333333333,1
70,панкисский_ADJ,1,2001,3,0,0,0,0.0,0
71,свиной_ADJ,1,2009,2,1,1,1,1.0,1
72,особенный_ADJ,0,2005,-1,0,0,0,0.0,0
73,киевский_ADJ,1,2013,8,1,2,2,1.6666666666666667,2
74,корейский_ADJ,1,2002,4,0,0,1,0.3333333333333333,0
75,болотный_ADJ,1,2012,1,2,0,1,1.0,1
76,садовый_ADJ,0,2000,-1,0,0,0,0.0,0
77,ледяной_ADJ,0,2000,-1,0,0,0,0.0,0
78,приемный_ADJ,1,2004,4,0,0,0,0.0,0
79,грядущий_ADJ,0,2001,-1,0,0,0,0.0,0
80,физический_ADJ,0,2006,-1,0,1,0,0.3333333333333333,0
81,эротический_ADJ,0,2001,-1,0,0,0,0.0,0
82,подконтрольный_ADJ,0,2009,-1,0,0,0,0.0,0
83,съемочный_ADJ,1,2010,6,0,0,0,0.0,0
84,санитарный_ADJ,0,2012,-1,0,0,0,0.0,0
85,обыкновенный_ADJ,1,2007,2,1,0,0,0.3333333333333333,0
86,железный_ADJ,1,2009,6,0,0,0,0.0,0
87,топливный_ADJ,0,2010,-1,0,0,0,0.0,0
88,осетинский_ADJ,1,2003,4,0,0,0,0.0,0
89,эффективный_ADJ,0,2012,-1,0,0,1,0.3333333333333333,0
90,вашингтонский_ADJ,1,2002,7,1,1,1,1.0,1
91,норильский_ADJ,1,2007,4,0,0,0,0.0,0
92,датский_ADJ,1,2002,1,0,1,0,0.3333333333333333,0
93,алюминиевый_ADJ,0,2003,-1,0,0,0,0.0,0
94,чешский_ADJ,0,2011,-1,0,0,1,0.3333333333333333,0
95,половой_ADJ,0,2012,-1,0,1,0,0.3333333333333333,0
96,македонский_ADJ,1,2000,1,2,2,2,2.0,2
97,тюремный_ADJ,1,2001,9,0,0,0,0.0,0
98,безработный_ADJ,1,2008,3,0,0,0,0.0,0
99,комсомольский_ADJ,1,2000,7,0,1,1,0.6666666666666666,1
100,молдавский_ADJ,0,2012,-1,0,0,0,0.0,0
101,экстремистский_ADJ,0,2007,-1,1,1,2,1.3333333333333333,1
102,цветной_ADJ,1,2004,6,0,0,0,0.0,0
103,строительный_ADJ,0,2000,-1,0,0,0,0.0,0
104,служебный_ADJ,0,2005,-1,0,0,1,0.3333333333333333,0
105,сирийский_ADJ,0,2004,-1,0,0,1,0.3333333333333333,0
106,махачкалинский_ADJ,1,2012,8,0,0,0,0.0,0
107,мертвый_ADJ,0,2004,-1,0,0,0,0.0,0
108,разнообразный_ADJ,0,2004,-1,0,1,0,0.3333333333333333,0
109,курганский_ADJ,1,2004,8,0,0,0,0.0,0
110,санкт-петербургский_ADJ,0,2013,-1,0,0,0,0.0,0
111,бронзовый_ADJ,1,2006,10,0,0,0,0.0,0
112,инженерный_ADJ,0,2004,-1,0,0,0,0.0,0
113,приемный_ADJ,1,2005,10,0,0,0,0.0,0
114,игорный_ADJ,1,2009,8,0,0,1,0.3333333333333333,0
115,противный_ADJ,1,2010,8,0,0,0,0.0,0
116,православный_ADJ,0,2013,-1,0,0,1,0.3333333333333333,0
117,норильский_ADJ,1,2008,4,1,0,2,1.0,1
118,безработный_ADJ,1,2010,4,1,0,1,0.6666666666666666,1
119,серый_ADJ,0,2013,-1,0,0,0,0.0,0
120,великолепный_ADJ,0,2010,-1,0,0,0,0.0,0
121,томский_ADJ,0,2011,-1,0,0,0,0.0,0
122,кипрский_ADJ,1,2013,10,1,0,2,1.0,1
123,полевой_ADJ,1,2005,9,0,0,0,0.0,0
124,ужасный_ADJ,0,2009,-1,0,0,0,0.0,0
125,болотный_ADJ,1,2011,1,2,2,2,2.0,2
126,универсальный_ADJ,0,2012,-1,0,0,0,0.0,0
127,выходной_ADJ,1,2012,9,0,0,0,0.0,0
128,формальный_ADJ,0,2003,-1,0,0,0,0.0,0
129,турнирный_ADJ,0,2003,-1,0,0,0,0.0,0
130,непосредственный_ADJ,0,2000,-1,0,0,0,0.0,0
131,круглый_ADJ,1,2005,7,0,0,0,0.0,0
132,убедительный_ADJ,0,2003,-1,0,0,0,0.0,0
133,оранжевый_ADJ,1,2003,8,2,0,1,1.0,1
134,жуткий_ADJ,0,2006,-1,0,0,0,0.0,0
135,октябрьский_ADJ,0,2002,-1,0,0,0,0.0,0
136,железный_ADJ,1,2011,9,0,1,0,0.3333333333333333,0
137,дурной_ADJ,0,2000,-1,0,0,0,0.0,0
138,дальневосточный_ADJ,0,2008,-1,0,0,0,0.0,0
139,лазерный_ADJ,1,2011,8,1,1,1,1.0,1
140,приемный_ADJ,1,2012,2,0,0,0,0.0,0
141,ливийский_ADJ,1,2010,1,1,1,1,1.0,1
142,лунный_ADJ,0,2006,-1,0,1,0,0.3333333333333333,0
143,критический_ADJ,0,2009,-1,0,0,0,0.0,0
144,смертельный_ADJ,0,2013,-1,0,0,0,0.0,0
145,русскоязычный_ADJ,0,2003,-1,0,0,1,0.3333333333333333,0
146,световой_ADJ,0,2012,-1,0,0,0,0.0,0
147,слабый_ADJ,0,2006,-1,0,0,0,0.0,0
148,норильский_ADJ,1,2003,9,0,0,0,0.0,0
149,басманный_ADJ,1,2005,1,2,1,1,1.3333333333333333,1
150,телевизионный_ADJ,0,2002,-1,0,0,0,0.0,0
151,послевоенный_ADJ,1,2002,2,1,1,1,1.0,1
152,правый_ADJ,0,2009,-1,0,0,0,0.0,0
153,балетный_ADJ,0,2013,-1,0,0,0,0.0,0
154,железный_ADJ,1,2004,10,0,1,1,0.6666666666666666,1
155,самопровозглашенный_ADJ,1,2013,4,2,2,2,2.0,2
156,ежедневный_ADJ,0,2007,-1,0,0,0,0.0,0
157,переходный_ADJ,1,2010,3,0,1,1,0.6666666666666666,1
158,технологический_ADJ,0,2000,-1,0,0,0,0.0,0
159,грандиозный_ADJ,0,2004,-1,0,1,0,0.3333333333333333,0
160,бумажный_ADJ,0,2002,-1,0,0,0,0.0,0
161,триумфальный_ADJ,1,2009,7,0,0,0,0.0,0
162,несогласный_ADJ,1,2007,10,2,2,1,1.6666666666666667,2
163,берлинский_ADJ,0,2000,-1,0,0,0,0.0,0
164,убедительный_ADJ,0,2003,-1,0,0,0,0.0,0
165,резкий_ADJ,0,2012,-1,0,0,0,0.0,0
166,оранжевый_ADJ,1,2004,5,2,1,1,1.3333333333333333,1
167,надзорный_ADJ,0,2009,-1,0,0,0,0.0,0
168,невский_ADJ,1,2008,6,1,1,1,1.0,1
169,амурский_ADJ,0,2008,-1,0,0,0,0.0,0
170,дорогостоящий_ADJ,0,2008,-1,0,1,1,0.6666666666666666,1
171,шиитский_ADJ,0,2005,-1,0,0,0,0.0,0
172,автономный_ADJ,0,2002,-1,0,0,0,0.0,0
173,подавляющий_ADJ,0,2006,-1,0,0,0,0.0,0
174,кадровый_ADJ,0,2002,-1,0,0,0,0.0,0
175,победный_ADJ,0,2007,-1,0,0,0,0.0,0
176,католический_ADJ,1,2002,6,0,0,1,0.3333333333333333,0
177,текстовый_ADJ,1,2010,9,0,1,2,1.0,1
178,необоснованный_ADJ,0,2012,-1,0,0,1,0.3333333333333333,0
179,неправильный_ADJ,0,2001,-1,0,0,0,0.0,0
180,русскоязычный_ADJ,0,2013,-1,2,2,2,2.0,2
181,голубой_ADJ,0,2007,-1,0,1,0,0.3333333333333333,0
182,невский_ADJ,1,2006,3,0,0,0,0.0,0
183,голевой_ADJ,0,2005,-1,0,0,0,0.0,0
184,фигурный_ADJ,1,2001,4,0,0,0,0.0,0
185,железный_ADJ,1,2005,5,0,0,1,0.3333333333333333,0
186,книжный_ADJ,0,2002,-1,0,0,1,0.3333333333333333,0
187,птичий_ADJ,1,2006,1,0,0,0,0.0,0
188,проектный_ADJ,0,2006,-1,0,0,0,0.0,0
189,достойный_ADJ,0,2004,-1,0,0,0,0.0,0
190,принятый_ADJ,0,2012,-1,0,0,0,0.0,0
191,узбекский_ADJ,1,2005,8,0,0,0,0.0,0
192,южнокорейский_ADJ,0,2008,-1,0,0,0,0.0,0
193,ювелирный_ADJ,0,2008,-1,0,0,0,0.0,0
194,смешанный_ADJ,1,2003,2,0,1,0,0.3333333333333333,0
195,голливудский_ADJ,0,2002,-1,0,0,0,0.0,0
196,кавказский_ADJ,0,2010,-1,1,0,0,0.3333333333333333,0
197,шахматный_ADJ,0,2001,-1,0,0,0,0.0,0
198,адекватный_ADJ,0,2005,-1,0,0,0,0.0,0
199,подавляющий_ADJ,1,2000,10,0,0,0,0.0,0
200,свиной_ADJ,1,2008,2,2,2,2,2.0,2
201,крымский_ADJ,1,2013,3,2,2,2,2.0,2
202,республиканский_ADJ,0,2004,-1,0,0,0,0.0,0
203,мадридский_ADJ,0,2007,-1,0,0,0,0.0,0
204,норильский_ADJ,1,2009,1,0,0,0,0.0,0
205,тюменский_ADJ,0,2005,-1,0,0,0,0.0,0
206,железный_ADJ,1,2008,7,0,0,0,0.0,0
207,донецкий_ADJ,1,2013,6,2,2,2,2.0,2
208,железный_ADJ,1,2012,4,0,1,0,0.3333333333333333,0
209,красноярский_ADJ,1,2002,9,0,0,0,0.0,0
210,саяно-шушенский_ADJ,1,2009,5,0,0,0,0.0,0
211,пожизненный_ADJ,1,2006,8,1,1,1,1.0,1
212,сердечный_ADJ,0,2006,-1,0,0,0,0.0,0
213,жаркий_ADJ,0,2006,-1,0,0,0,0.0,0
214,балетный_ADJ,1,2012,5,0,0,0,0.0,0
215,невероятный_ADJ,0,2010,-1,0,0,0,0.0,0
216,офшорный_ADJ,0,2013,-1,0,0,1,0.3333333333333333,0
217,разнообразный_ADJ,0,2011,-1,0,0,0,0.0,0
218,ежедневный_ADJ,1,2002,5,0,0,1,0.3333333333333333,0
219,датский_ADJ,1,2001,2,0,0,0,0.0,0
220,рекордный_ADJ,0,2013,-1,0,0,1,0.3333333333333333,0
221,обыкновенный_ADJ,1,2012,7,0,0,0,0.0,0
222,крымский_ADJ,1,2011,2,0,0,1,0.3333333333333333,0
223,радиоактивный_ADJ,0,2007,-1,0,0,0,0.0,0
224,железный_ADJ,1,2007,8,0,0,0,0.0,0
225,заказной_ADJ,0,2000,-1,0,0,1,0.3333333333333333,0
226,мадридский_ADJ,1,2003,6,1,0,0,0.3333333333333333,0
227,датский_ADJ,1,2005,2,0,0,0,0.0,0
228,мелкий_ADJ,0,2000,-1,0,0,0,0.0,0
229,птичий_ADJ,1,2005,4,0,0,1,0.3333333333333333,0
230,македонский_ADJ,1,2001,1,0,0,0,0.0,0
231,сибирский_ADJ,1,2000,6,0,1,0,0.3333333333333333,0
232,иркутский_ADJ,0,2009,-1,0,0,0,0.0,0
233,грязный_ADJ,0,2007,-1,1,1,0,0.6666666666666666,1
234,смертный_ADJ,1,2000,9,0,0,0,0.0,0
235,римский_ADJ,0,2005,-1,0,1,1,0.6666666666666666,1
236,южноуральский_ADJ,1,2003,1,0,0,0,0.0,0
237,пушкинский_ADJ,1,2012,3,2,1,1,1.3333333333333333,1
238,армянский_ADJ,0,2006,-1,0,0,0,0.0,0
239,академический_ADJ,0,2010,-1,0,0,0,0.0,0
240,добровольный_ADJ,0,2004,-1,0,0,0,0.0,0
241,птичий_ADJ,1,2004,2,0,0,0,0.0,0
242,неофициальный_ADJ,0,2011,-1,0,1,0,0.3333333333333333,0
243,ледяной_ADJ,0,2009,-1,0,0,0,0.0,0
244,радиоактивный_ADJ,0,2010,-1,0,1,1,0.6666666666666666,1
245,австралийский_ADJ,0,2007,-1,0,0,0,0.0,0
246,египетский_ADJ,0,2008,-1,0,1,0,0.3333333333333333,0
247,надежный_ADJ,0,2013,-1,0,0,0,0.0,0
248,нравственный_ADJ,0,2002,-1,0,0,0,0.0,0
249,патриотический_ADJ,0,2013,-1,1,0,0,0.3333333333333333,0
250,уставной_ADJ,0,2003,-1,0,0,0,0.0,0
251,бытовой_ADJ,0,2013,-1,0,0,0,0.0,0
252,латинский_ADJ,0,2010,-1,0,1,0,0.3333333333333333,0
253,проектный_ADJ,0,2009,-1,0,0,0,0.0,0
254,выездной_ADJ,0,2010,-1,0,1,0,0.3333333333333333,0
255,летный_ADJ,0,2000,-1,0,1,0,0.3333333333333333,0
256,ежемесячный_ADJ,0,2003,-1,0,0,0,0.0,0
257,победный_ADJ,0,2003,-1,0,0,0,0.0,0
258,внеочередной_ADJ,0,2006,-1,0,0,0,0.0,0
259,симпатичный_ADJ,0,2005,-1,0,0,0,0.0,0
260,незначительный_ADJ,0,2011,-1,0,0,0,0.0,0
261,водительский_ADJ,0,2012,-1,0,1,0,0.3333333333333333,0
262,армянский_ADJ,0,2006,-1,0,1,0,0.3333333333333333,0
263,ложный_ADJ,0,2007,-1,0,1,0,0.3333333333333333,0
264,долговой_ADJ,0,2005,-1,0,0,0,0.0,0
265,памятный_ADJ,0,2004,-1,0,0,0,0.0,0
266,двусторонний_ADJ,0,2011,-1,0,0,0,0.0,0
267,выездной_ADJ,0,2010,-1,0,0,0,0.0,0
268,патрульный_ADJ,0,2009,-1,1,1,0,0.6666666666666666,1
269,обыкновенный_ADJ,0,2008,-1,0,0,0,0.0,0
270,социологический_ADJ,0,2007,-1,0,0,0,0.0,0
271,противоположный_ADJ,0,2010,-1,0,0,0,0.0,0
272,приоритетный_ADJ,0,2011,-1,0,1,0,0.3333333333333333,0
273,узбекский_ADJ,0,2004,-1,2,2,1,1.6666666666666667,2
274,несанкционированный_ADJ,0,2009,-1,0,1,0,0.3333333333333333,0
275,исправительный_ADJ,0,2010,-1,0,0,0,0.0,0
276,романтический_ADJ,0,2000,-1,0,1,0,0.3333333333333333,0
277,новгородский_ADJ,0,2001,-1,0,1,0,0.3333333333333333,0
278,солнечный_ADJ,0,2000,-1,0,0,0,0.0,0
279,защитный_ADJ,0,2001,-1,1,0,0,0.3333333333333333,0
